request_id,phase,timestamp_sent,timestamp_received,latency_ms,http_status,response_body,error
0,warmup,1774138525.053966,1774138525.664416,610.450029373169,200,"{""statusCode"": 200, ""body"": ""ok""}",
1,warmup,1774138525.075068,1774138525.607452,532.383918762207,200,"{""statusCode"": 200, ""body"": ""ok""}",
2,warmup,1774138525.095045,1774138525.626069,531.0239791870117,200,"{""statusCode"": 200, ""body"": ""ok""}",
3,warmup,1774138525.11428,1774138525.648167,533.8869094848633,200,"{""statusCode"": 200, ""body"": ""ok""}",
4,warmup,1774138525.135072,1774138525.951102,816.0300254821777,200,"{""statusCode"": 200, ""body"": ""ok""}",
5,warmup,1774138525.155064,1774138525.738388,583.3239555358887,200,"{""statusCode"": 200, ""body"": ""ok""}",
6,warmup,1774138525.174369,1774138525.720705,546.3359355926514,200,"{""statusCode"": 200, ""body"": ""ok""}",
7,warmup,1774138525.1945589,1774138525.734462,539.9031639099121,200,"{""statusCode"": 200, ""body"": ""ok""}",
8,warmup,1774138525.2143319,1774138525.9025888,688.2569789886475,200,"{""statusCode"": 200, ""body"": ""ok""}",
9,warmup,1774138525.234991,1774138525.804896,569.9050426483154,200,"{""statusCode"": 200, ""body"": ""ok""}",
10,warmup,1774138525.254005,1774138525.90223,648.2250690460205,200,"{""statusCode"": 200, ""body"": ""ok""}",
11,warmup,1774138525.274776,1774138525.9024131,627.6371479034424,200,"{""statusCode"": 200, ""body"": ""ok""}",
12,warmup,1774138525.295209,1774138525.8293602,534.1513156890869,200,"{""statusCode"": 200, ""body"": ""ok""}",
13,warmup,1774138525.3153331,1774138525.839911,524.5778560638428,200,"{""statusCode"": 200, ""body"": ""ok""}",
14,warmup,1774138525.334301,1774138525.8583732,524.0721702575684,200,"{""statusCode"": 200, ""body"": ""ok""}",
15,warmup,1774138525.3549938,1774138525.955851,600.8572578430176,200,"{""statusCode"": 200, ""body"": ""ok""}",
16,warmup,1774138525.3750122,1774138525.86587,490.8578395843506,200,"{""statusCode"": 200, ""body"": ""ok""}",
