request_id,phase,timestamp_sent,timestamp_received,latency_ms,http_status,response_body,error
0,warmup,1774138224.695578,1774138225.133419,437.84093856811523,200,,
1,warmup,1774138224.717623,1774138225.1095629,391.9398784637451,200,,
2,warmup,1774138224.737619,1774138225.115399,377.7799606323242,200,,
3,warmup,1774138224.755628,1774138225.1431391,387.5110149383545,200,,
4,warmup,1774138224.7776158,1774138225.0855622,307.94644355773926,200,,
5,warmup,1774138224.797461,1774138225.095071,297.6100444793701,200,,
6,warmup,1774138224.816959,1774138225.099784,282.8249931335449,200,,
7,warmup,1774138224.837641,1774138225.139704,302.06298828125,200,,
8,warmup,1774138224.857663,1774138225.1815438,323.8809108734131,200,,
9,warmup,1774138224.876242,1774138225.160913,284.6710681915283,200,,
10,warmup,1774138224.8963351,1774138225.094995,198.65989685058594,200,,
11,warmup,1774138224.916805,1774138225.099911,183.1059455871582,200,,
12,warmup,1774138224.9365702,1774138225.1053739,168.80369186401367,200,,
13,warmup,1774138224.9577029,1774138225.1092968,151.5939235687256,200,,
14,warmup,1774138224.9771361,1774138225.195818,218.68181228637695,200,,
15,warmup,1774138224.9965172,1774138225.109405,112.88785934448242,200,,
16,warmup,1774138225.016049,1774138225.139619,123.57020378112793,200,,
17,warmup,1774138225.0357041,1774138225.139189,103.4848690032959,200,,
18,warmup,1774138225.057121,1774138225.181337,124.21607971191406,200,,
19,warmup,1774138225.075788,1774138225.189705,113.91687393188477,200,,
20,warmup,1774138225.096719,1774138225.1432261,46.50712013244629,200,,
21,warmup,1774138225.115681,1774138225.1614442,45.763254165649414,200,,
22,warmup,1774138225.1361651,1774138225.179888,43.72286796569824,200,,
23,warmup,1774138225.156435,1774138225.2037508,47.31583595275879,200,,
24,warmup,1774138225.1762948,1774138225.223549,47.254085540771484,200,,
25,warmup,1774138225.1960242,1774138225.2443058,48.28166961669922,200,,
26,warmup,1774138225.2178502,1774138225.2637088,45.85862159729004,200,,
27,warmup,1774138225.237737,1774138225.277736,39.99900817871094,200,,
28,warmup,1774138225.2578099,1774138225.307754,49.944162368774414,200,,
29,warmup,1774138225.277801,1774138225.321669,43.868064880371094,200,,
30,warmup,1774138225.2962098,1774138225.344223,48.01321029663086,200,,
31,warmup,1774138225.317596,1774138225.3583848,40.788888931274414,200,,
32,warmup,1774138225.337642,1774138225.379781,42.13905334472656,200,,
33,warmup,1774138225.356452,1774138225.399797,43.344974517822266,200,,
34,warmup,1774138225.377695,1774138225.4195762,41.88108444213867,200,,
35,warmup,1774138225.397681,1774138225.4416971,44.016122817993164,200,,
36,warmup,1774138225.417678,1774138225.461674,43.99585723876953,200,,
37,warmup,1774138225.437637,1774138225.479817,42.17982292175293,200,,
38,warmup,1774138225.4576719,1774138225.499949,42.27709770202637,200,,
39,warmup,1774138225.476484,1774138225.522059,45.57490348815918,200,,
40,warmup,1774138225.497639,1774138225.5442739,46.63491249084473,200,,
41,warmup,1774138225.517289,1774138225.564775,47.486066818237305,200,,
42,warmup,1774138225.537911,1774138225.582172,44.26097869873047,200,,
43,warmup,1774138225.557775,1774138225.6023302,44.5551872253418,200,,
44,warmup,1774138225.577769,1774138225.6201742,42.405128479003906,200,,
45,warmup,1774138225.5977752,1774138225.6443079,46.532630920410156,200,,
46,warmup,1774138225.617627,1774138225.662226,44.599056243896484,200,,
47,warmup,1774138225.6372092,1774138225.6778262,40.61698913574219,200,,
48,warmup,1774138225.6562738,1774138225.702393,46.11921310424805,200,,
49,warmup,1774138225.6779678,1774138225.726197,48.229217529296875,200,,
50,warmup,1774138225.697851,1774138225.744144,46.293020248413086,200,,
51,warmup,1774138225.7177322,1774138225.7596002,41.867971420288086,200,,
52,warmup,1774138225.73771,1774138225.78086,43.14994812011719,200,,
53,warmup,1774138225.7576802,1774138225.802191,44.510841369628906,200,,
54,warmup,1774138225.777706,1774138225.819328,41.622161865234375,200,,
55,warmup,1774138225.797664,1774138225.852124,54.46004867553711,200,,
56,warmup,1774138225.817667,1774138225.860403,42.736053466796875,200,,
57,warmup,1774138225.8376472,1774138225.88289,45.2427864074707,200,,
58,warmup,1774138225.855894,1774138225.902109,46.21481895446777,200,,
59,warmup,1774138225.8777092,1774138225.932333,54.62384223937988,200,,
60,warmup,1774138225.8976388,1774138225.942219,44.58022117614746,200,,
61,warmup,1774138225.917693,1774138225.997944,80.25121688842773,200,,
62,warmup,1774138225.936447,1774138225.99806,61.61308288574219,200,,
63,warmup,1774138225.957634,1774138226.036416,78.7820816040039,200,,
64,warmup,1774138225.977671,1774138226.040255,62.58416175842285,200,,
65,warmup,1774138225.997644,1774138226.058938,61.2940788269043,200,,
66,warmup,1774138226.017633,1774138226.059299,41.66603088378906,200,,
67,warmup,1774138226.036493,1774138226.084927,48.43401908874512,200,,
68,warmup,1774138226.0577002,1774138226.104128,46.42772674560547,200,,
69,warmup,1774138226.084241,1774138226.1309419,46.70095443725586,200,,
70,warmup,1774138226.097995,1774138226.146573,48.57802391052246,200,,
71,warmup,1774138226.117933,1774138226.160654,42.72103309631348,200,,
72,warmup,1774138226.13699,1774138226.180737,43.7469482421875,200,,
73,warmup,1774138226.157703,1774138226.200099,42.39606857299805,200,,
74,warmup,1774138226.176061,1774138226.219213,43.1520938873291,200,,
75,warmup,1774138226.197851,1774138226.2409,43.04909706115723,200,,
76,warmup,1774138226.2177951,1774138226.2612638,43.46871376037598,200,,
77,warmup,1774138226.2362812,1774138226.279787,43.50590705871582,200,,
78,warmup,1774138226.26108,1774138226.304672,43.591976165771484,200,,
79,warmup,1774138226.277638,1774138226.3219981,44.36016082763672,200,,
80,warmup,1774138226.297631,1774138226.343213,45.58205604553223,200,,
81,warmup,1774138226.317544,1774138226.364934,47.389984130859375,200,,
82,warmup,1774138226.337086,1774138226.385507,48.42114448547363,200,,
83,warmup,1774138226.356599,1774138226.400466,43.866872787475586,200,,
84,warmup,1774138226.378297,1774138226.423958,45.660972595214844,200,,
85,warmup,1774138226.3995771,1774138226.4475808,48.0036735534668,200,,
86,warmup,1774138226.4182138,1774138226.4600792,41.86534881591797,200,,
87,warmup,1774138226.4377978,1774138226.477095,39.29710388183594,200,,
88,warmup,1774138226.457824,1774138226.503254,45.42994499206543,200,,
89,warmup,1774138226.477228,1774138226.521365,44.137001037597656,200,,
90,warmup,1774138226.4967291,1774138226.543191,46.46182060241699,200,,
91,warmup,1774138226.516578,1774138226.563051,46.473026275634766,200,,
92,warmup,1774138226.5372741,1774138226.580252,42.97780990600586,200,,
93,warmup,1774138226.557258,1774138226.5978072,40.549278259277344,200,,
94,warmup,1774138226.577861,1774138226.6185422,40.68112373352051,200,,
95,warmup,1774138226.597049,1774138226.641079,44.029951095581055,200,,
96,warmup,1774138226.615964,1774138226.659442,43.47801208496094,200,,
97,warmup,1774138226.637824,1774138226.685503,47.67894744873047,200,,
98,warmup,1774138226.656613,1774138226.7006211,44.00801658630371,200,,
99,warmup,1774138226.6759129,1774138226.720609,44.69609260559082,200,,
100,warmup,1774138226.6978052,1774138226.746124,48.31886291503906,200,,
101,warmup,1774138226.717839,1774138226.765505,47.666072845458984,200,,
102,warmup,1774138226.736087,1774138226.781476,45.38893699645996,200,,
103,warmup,1774138226.757291,1774138226.797259,39.968013763427734,200,,
104,warmup,1774138226.777909,1774138226.823497,45.588016510009766,200,,
105,warmup,1774138226.796059,1774138226.8394518,43.39289665222168,200,,
106,warmup,1774138226.8178382,1774138226.85826,40.42172431945801,200,,
107,warmup,1774138226.837852,1774138226.879491,41.639089584350586,200,,
108,warmup,1774138226.856332,1774138226.901535,45.20297050476074,200,,
109,warmup,1774138226.877815,1774138226.9255612,47.74618148803711,200,,
110,warmup,1774138226.8976471,1774138226.943729,46.0817813873291,200,,
111,warmup,1774138226.9174788,1774138226.9607198,43.241024017333984,200,,
112,warmup,1774138226.937869,1774138226.9813812,43.51210594177246,200,,
113,warmup,1774138226.957825,1774138227.0010722,43.247222900390625,200,,
114,warmup,1774138226.978034,1774138227.020652,42.6180362701416,200,,
115,warmup,1774138226.997827,1774138227.0410721,43.24507713317871,200,,
116,warmup,1774138227.017473,1774138227.068256,50.78291893005371,200,,
117,warmup,1774138227.037865,1774138227.081772,43.90716552734375,200,,
118,warmup,1774138227.057559,1774138227.0995572,41.99814796447754,200,,
119,warmup,1774138227.0776489,1774138227.1257448,48.0959415435791,200,,
120,warmup,1774138227.097763,1774138227.1438642,46.10109329223633,200,,
121,warmup,1774138227.117804,1774138227.164534,46.73004150390625,200,,
122,warmup,1774138227.13645,1774138227.180387,43.936967849731445,200,,
123,warmup,1774138227.1558661,1774138227.1981308,42.264699935913086,200,,
124,warmup,1774138227.177686,1774138227.220979,43.292999267578125,200,,
125,warmup,1774138227.197214,1774138227.243985,46.77104949951172,200,,
126,warmup,1774138227.217888,1774138227.263915,46.02694511413574,200,,
127,warmup,1774138227.237932,1774138227.282825,44.89302635192871,200,,
128,warmup,1774138227.2572968,1774138227.303939,46.642303466796875,200,,
129,warmup,1774138227.276224,1774138227.3218188,45.59493064880371,200,,
130,warmup,1774138227.297794,1774138227.34204,44.24595832824707,200,,
131,warmup,1774138227.316921,1774138227.358755,41.834115982055664,200,,
132,warmup,1774138227.3363059,1774138227.378591,42.28520393371582,200,,
133,warmup,1774138227.3574028,1774138227.404798,47.39522933959961,200,,
134,warmup,1774138227.378027,1774138227.421794,43.76697540283203,200,,
135,warmup,1774138227.39794,1774138227.442257,44.317007064819336,200,,
