function,rows,execution_mean_ms,execution_median_ms,execution_p95_ms,execution_p99_ms,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,init_duration_mean_ms,init_duration_median_ms,init_duration_p95_ms,init_duration_p99_ms,memory_used_mean_mb,cost_mean_usd
exp3-python-x86,4988,153.24174619085807,150.685,174.40599999999998,226.4682,189.48374959881437,186.1170530319214,215.03722667694078,271.5337085723877,102.78,99.31,109.55199999999999,110.4624,37.17828849238171,4.4230678942631925e-06
exp3-go-x86,5000,4.149832,4.04,4.78,6.5908000000000175,40.96222891807556,39.50810432434082,47.45972156524658,65.94371557235719,61.68,61.68,61.68,61.68,22.119089199999998,3.2763283680813184e-07
exp3-java-x86,4178,3.863884633796075,3.7,4.67,8.029199999999982,41.483665208830224,39.50941562652588,51.68056488037108,70.29742479324327,,,,,99.70624868358065,3.183188831609363e-07
