request_id,function_label,runtime,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,is_timeout,execution_ms,init_duration_ms,billed_duration_ms,memory_used_mb,memory_size_mb
0,exp3-go-x86,go,cold_vs_warm,cold,1777028788.4907131,1777028789.025478,534.7647666931152,200,83827796-a916-4e3f-b70a-d9b610163339,,False,5.480,57.750,64.000,17.166,1687.050
1,exp3-go-x86,go,cold_vs_warm,cold,1777029689.248461,1777029689.6944509,445.98984718322754,200,4a68c97b-bfa3-433b-9dd9-9518c33810af,,False,4.800,61.050,66.000,17.166,1687.050
2,exp3-go-x86,go,cold_vs_warm,cold,1777030589.948558,1777030590.401128,452.56996154785156,200,2f651eb0-7acd-4f53-905f-c1761a3684a6,,False,5.040,56.580,62.000,17.166,1687.050
3,exp3-go-x86,go,cold_vs_warm,cold,1777031490.6785789,1777031491.143424,464.8451805114746,200,5b564d1e-f99f-471d-ac3d-1ac5b8b92a11,,False,4.880,57.060,62.000,17.166,1687.050
4,exp3-go-x86,go,cold_vs_warm,cold,1777032391.331728,1777032391.84609,514.362096786499,200,b12840b0-765e-4eb9-957b-481f53e2d4cc,,False,,,,,
