function,runtime,phase,total_requests,successful_requests,errors,timeouts,error_rate_percent,timeout_rate_percent,throughput_req_per_sec,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,execution_mean_ms,execution_median_ms,execution_p95_ms,init_duration_mean_ms,init_duration_median_ms,init_duration_max_ms
exp3-go-x86,go,cold,5,5,0,0,0.0,0.0,0.0013877936826450366,482.5063705444336,464.8451805114746,530.684232711792,533.9486598968506,534.7647666931152,5.05,4.96,5.414000000000001,58.11,57.405,61.05
exp3-java-x86,java,cold,5,5,0,0,0.0,0.0,0.0013877936922879709,685.938549041748,678.7638664245605,712.5106811523438,714.025993347168,714.404821395874,40.96,39.215,46.8955,355.705,355.44,362.08
exp3-python-x86,python,cold,5,5,0,0,0.0,0.0,0.0013877925771064725,597.3138332366943,601.4199256896973,648.8764762878418,649.875316619873,650.1250267028809,173.5075,157.07999999999998,222.70449999999997,119.67499999999998,116.57499999999999,136.85
