function,runtime,phase,total_requests,successful_requests,errors,timeouts,error_rate_percent,timeout_rate_percent,throughput_req_per_sec,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,execution_mean_ms,execution_median_ms,execution_p95_ms,init_duration_mean_ms,init_duration_median_ms,init_duration_max_ms
exp3-go-x86,go,warm,5000,5000,0,0,0.0,0.0,50.00726614672672,40.96222891807556,39.50810432434082,47.45972156524658,65.94371557235719,236.16290092468265,4.149831999999999,4.04,4.78,61.68,61.68,61.68
exp3-java-x86,java,warm,5000,5000,0,0,0.0,0.0,50.00024449944846,41.24762926101685,39.31558132171631,50.23151636123658,69.29907083511362,233.72912406921387,3.863884633796075,3.7,4.67,,,
exp3-python-x86,python,warm,5000,4988,12,0,0.24,0.0,49.87225728088055,189.48374959881437,186.1170530319214,215.03722667694078,271.5337085723877,566.2920475006104,153.24174619085804,150.685,174.40599999999998,102.78000000000002,99.31,110.69
