function,rows,execution_mean_ms,execution_median_ms,execution_p95_ms,execution_p99_ms,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,init_duration_mean_ms,init_duration_median_ms,init_duration_p95_ms,init_duration_p99_ms,memory_used_mean_mb,cost_mean_usd
exp3-python-x86,4,173.5075,157.07999999999998,222.70449999999997,231.10089999999997,607.9755425453186,622.6511001586914,649.1886138916016,649.937744140625,119.675,116.57499999999999,134.534,136.3868,36.47825,8.265949359405518e-06
exp3-go-x86,4,5.05,4.96,5.414000000000001,5.4668,474.54243898391724,458.7075710296631,524.2768287658691,532.667179107666,58.11,57.405,60.555,60.95099999999999,17.166,1.943617989182129e-06
exp3-java-x86,4,40.96,39.215,46.8955,47.931099999999994,681.1896562576294,672.9024648666382,709.058678150177,713.3355927467346,355.705,355.44,361.4935,361.9627,88.93025,1.1107909389017334e-05
