request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,error
0,burst,spike,1777001398.829033,1777001399.3756669,546.6339588165283,200,
1,burst,spike,1777001398.8412778,1777001399.35685,515.5720710754395,200,
2,burst,spike,1777001398.84146,1777001399.399636,558.1760406494141,200,
3,burst,spike,1777001398.84155,1777001399.3996851,558.1350326538086,200,
4,burst,spike,1777001398.8416152,1777001399.378885,537.2698307037354,200,
5,burst,spike,1777001398.841686,1777001399.363921,522.2349166870117,200,
6,burst,spike,1777001398.841744,1777001399.3736541,531.9101810455322,200,
7,burst,spike,1777001398.843093,1777001399.368205,525.1121520996094,200,
8,burst,spike,1777001398.845147,1777001399.3737102,528.5632610321045,200,
9,burst,spike,1777001398.8473952,1777001399.1654851,318.08996200561523,200,
10,burst,spike,1777001398.849268,1777001399.356817,507.5490474700928,200,
11,burst,spike,1777001398.851122,1777001399.390047,538.9251708984375,200,
12,burst,spike,1777001398.8531032,1777001399.364773,511.6698741912842,200,
13,burst,spike,1777001398.855411,1777001399.34899,493.5789108276367,200,
14,burst,spike,1777001398.8570712,1777001399.37586,518.7888145446777,200,
15,burst,spike,1777001398.859075,1777001399.34671,487.63489723205566,200,
16,burst,spike,1777001398.8610718,1777001399.401864,540.7922267913818,200,
17,burst,spike,1777001398.8631501,1777001399.365816,502.6659965515137,200,
18,burst,spike,1777001398.865098,1777001399.370097,504.99892234802246,200,
19,burst,spike,1777001398.867105,1777001399.413444,546.3390350341797,200,
20,burst,spike,1777001398.8691132,1777001399.3588061,489.69292640686035,200,
21,burst,spike,1777001398.871119,1777001399.377259,506.13999366760254,200,
22,burst,spike,1777001398.8731399,1777001399.37731,504.17017936706543,200,
23,burst,spike,1777001398.8792589,1777001399.388472,509.2132091522217,200,
24,burst,spike,1777001398.8794408,1777001399.36467,485.2292537689209,200,
25,burst,spike,1777001398.8795562,1777001399.399727,520.1709270477295,200,
26,burst,spike,1777001398.880995,1777001399.3917482,510.7531547546387,200,
27,burst,spike,1777001398.883073,1777001399.367767,484.6940040588379,200,
28,burst,spike,1777001398.8850582,1777001399.388445,503.3867359161377,200,
29,burst,spike,1777001398.887064,1777001399.38644,499.3760585784912,200,
30,burst,spike,1777001398.889089,1777001399.4042912,515.2020454406738,200,
31,burst,spike,1777001398.891084,1777001399.3996632,508.5792541503906,200,
32,burst,spike,1777001398.893137,1777001399.391656,498.5189437866211,200,
33,burst,spike,1777001398.895067,1777001399.386507,491.4400577545166,200,
