request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet,execution_ms,memory_used_mb,cost_usd
71,exp1-java-arm,warmup,1777022551.3657799,1777022551.6136398,247.85995483398438,200,fa5630ef-5553-4f2a-acef-477398a3951c,,,210.690,163.078,0.0000046350
5,exp1-java-arm,warmup,1777022548.0660028,1777022551.6346822,3568.6793327331543,200,d8f5918b-9f65-4516-9752-0d0245cdb6c3,,,1520.520,163.078,0.0000729960
72,exp1-java-arm,warmup,1777022551.4154549,1777022551.663004,247.54905700683594,200,c6c9382c-9f20-4b4c-a7fc-50c4e8850741,,,216.930,165.939,0.0000047668
51,exp1-java-arm,warmup,1777022550.365439,1777022551.675959,1310.5201721191406,200,5ca66aa0-29ba-4bdb-b95e-8ea83e9fea2d,,,235.440,164.032,0.0000051842
49,exp1-java-arm,warmup,1777022550.266189,1777022551.7005079,1434.3187808990479,200,390e2786-7efa-4dc4-b36d-b409f5c98cf8,,,250.950,164.032,0.0000055137
73,exp1-java-arm,warmup,1777022551.465715,1777022551.717835,252.1200180053711,200,8d22e8e0-c2c9-45b7-b787-202a39814e92,,,220.810,162.125,0.0000048547
46,exp1-java-arm,warmup,1777022550.115215,1777022551.74803,1632.814884185791,200,5051ed23-b74e-4898-a3f2-9936809f2779,,,237.600,162.125,0.0000052281
74,exp1-java-arm,warmup,1777022551.5169249,1777022551.7529569,236.03200912475586,200,3e5d0006-10bc-48da-bc2d-605ede8de05a,,,203.030,160.217,0.0000044812
47,exp1-java-arm,warmup,1777022550.165505,1777022551.805266,1639.760971069336,200,635e3245-58e6-4b2e-8114-91fe8c3e12ab,,,238.500,164.032,0.0000052501
75,exp1-java-arm,warmup,1777022551.5669608,1777022551.817065,250.10418891906738,200,05341114-07ae-4039-b11d-9c572a906e98,,,217.260,164.032,0.0000047888
76,exp1-java-arm,warmup,1777022551.615177,1777022551.8570938,241.91689491271973,200,13525ec7-9023-469e-99f8-43536e1bc55a,,,207.460,164.032,0.0000045691
77,exp1-java-arm,warmup,1777022551.6653178,1777022551.900147,234.82918739318848,200,d33cdf1f-5f05-4afa-a480-c50567bfb65e,,,200.270,164.032,0.0000044153
56,exp1-java-arm,warmup,1777022550.6173482,1777022551.962378,1345.0298309326172,200,fdadaa0c-cee1-478d-a70a-869da52c73ca,,,224.890,162.125,0.0000049426
78,exp1-java-arm,warmup,1777022551.716285,1777022551.975749,259.4640254974365,200,130758cf-8493-4c11-9028-4da5ea3e6738,,,217.800,165.939,0.0000047888
48,exp1-java-arm,warmup,1777022550.215752,1777022551.980248,1764.496088027954,200,7274fdc8-d36c-4882-b88e-36c63bd9ab15,,,242.750,164.032,0.0000053380
50,exp1-java-arm,warmup,1777022550.315331,1777022552.004512,1689.1810894012451,200,80d84e97-8b5b-407e-877a-f80d3f4d0324,,,219.930,160.217,0.0000048327
54,exp1-java-arm,warmup,1777022550.515151,1777022552.0254111,1510.2601051330566,200,f4e45645-086f-4359-ab0a-f0cbaef7ee67,,,212.300,164.032,0.0000046790
79,exp1-java-arm,warmup,1777022551.766898,1777022552.036335,269.4370746612549,200,9667a1a0-ebff-42ee-8055-fe72add25cfb,,,233.610,162.125,0.0000051403
80,exp1-java-arm,warmup,1777022551.816216,1777022552.064319,248.10290336608887,200,a123830d-724f-41d9-a9b8-31aa930fbb08,,,212.050,164.032,0.0000046790
81,exp1-java-arm,warmup,1777022551.866188,1777022552.1234062,257.2181224822998,200,b56d0736-7137-40c5-aeb8-2d537d47f1e8,,,221.380,164.032,0.0000048767
42,exp1-java-arm,warmup,1777022549.916193,1777022552.1644318,2248.2388019561768,200,250bdc59-db27-4eec-91a2-ce3a42d1a27e,,,233.710,164.032,0.0000051403
82,exp1-java-arm,warmup,1777022551.916896,1777022552.2225049,305.60874938964844,200,5a062096-e67d-49f2-81c8-15b377e1d3bb,,,271.720,163.078,0.0000059750
83,exp1-java-arm,warmup,1777022551.965499,1777022552.240486,274.98698234558105,200,df2dde4c-4362-4e6e-932e-3256ad5c244d,,,241.020,164.032,0.0000053160
84,exp1-java-arm,warmup,1777022552.016005,1777022552.248538,232.53297805786133,200,492f93cb-016f-4460-86e4-d95e6547e3b9,,,197.470,164.032,0.0000043494
13,exp1-java-arm,warmup,1777022548.465888,1777022552.287675,3821.786880493164,200,df4a771d-e18b-4268-9a7c-e0041546697b,,,241.000,162.125,0.0000053160
57,exp1-java-arm,warmup,1777022550.666317,1777022552.295538,1629.220962524414,200,3bd70e64-a47c-4e45-afa1-7c0ef0c68115,,,217.960,164.032,0.0000047888
