request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet
0,exp1-go-x86,warmup,1777022047.543457,1777022048.117177,573.7199783325195,200,b6cdae69-afa7-4c50-8fc1-b7e97e3cc616,,
1,exp1-go-x86,warmup,1777022047.594517,1777022048.140994,546.4770793914795,200,4f9a2872-3c7e-4b94-bbe5-08f937abe127,,
2,exp1-go-x86,warmup,1777022047.644521,1777022048.157019,512.4979019165039,200,dee4d09d-54bc-4eb7-9dfe-1548f8854a78,,
8,exp1-go-x86,warmup,1777022047.944606,1777022048.240404,295.79782485961914,200,e9164f48-201e-46ef-87cd-351ab1d7cc98,,
3,exp1-go-x86,warmup,1777022047.6945028,1777022048.258929,564.4261837005615,200,9f32bfde-5514-447b-87e0-9a72dbb3ffd5,,
4,exp1-go-x86,warmup,1777022047.744609,1777022048.284091,539.4818782806396,200,96948aed-b407-4f8b-9846-5c71594fcb88,,
5,exp1-go-x86,warmup,1777022047.7947361,1777022048.2941911,499.4549751281738,200,adcfe5c4-e7a3-4a03-b73e-5d2881975419,,
12,exp1-go-x86,warmup,1777022048.144,1777022048.301973,157.973051071167,200,e42b0ea1-ffbf-4541-9a30-c9cd3191edda,,
9,exp1-go-x86,warmup,1777022047.994619,1777022048.306836,312.21699714660645,200,5af81e5e-97ae-4079-a7f6-3fcd7d66a0a9,,
6,exp1-go-x86,warmup,1777022047.844718,1777022048.337827,493.10898780822754,200,ccada910-8a32-45fb-bf76-4e01f618c901,,
7,exp1-go-x86,warmup,1777022047.894572,1777022048.3881211,493.549108505249,200,b44da89e-f5c2-42b8-9877-3324fd80ac84,,
14,exp1-go-x86,warmup,1777022048.244062,1777022048.405897,161.8349552154541,200,01798002-6dd9-4709-8ab7-107f06b4fadd,,
10,exp1-go-x86,warmup,1777022048.044571,1777022048.41288,368.30902099609375,200,8093a783-1fd2-4d9b-a7b1-afb8836111d5,,
16,exp1-go-x86,warmup,1777022048.344212,1777022048.469502,125.2899169921875,200,182810e0-aab0-4e98-9fcf-e26f5b0d7208,,
11,exp1-go-x86,warmup,1777022048.0947032,1777022048.470283,375.579833984375,200,6b91cfbb-9a2a-41c5-91fa-1c87c23bdd65,,
17,exp1-go-x86,warmup,1777022048.3941681,1777022048.542021,147.85289764404297,200,c47b2dd9-11d7-4e29-8b2b-ed24a181867f,,
15,exp1-go-x86,warmup,1777022048.294365,1777022048.548534,254.16898727416992,200,5e77340f-601b-4005-8201-2f84f660108d,,
