request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet
44,exp1-go-arm,warmup,1777021549.383924,1777021549.5258398,141.91579818725586,200,aafc3c12-af14-4873-8ddf-68d5811a85a9,,
45,exp1-go-arm,warmup,1777021549.434016,1777021549.646601,212.5849723815918,200,307fed36-548f-4b23-aab9-7e1a5b613349,,
46,exp1-go-arm,warmup,1777021549.483181,1777021549.647439,164.25800323486328,200,9149d5e3-373b-4c6c-b0e3-97ce549886ec,,
47,exp1-go-arm,warmup,1777021549.533349,1777021549.659277,125.92792510986328,200,e6f29bfa-3153-49db-8cda-c187a1d2fcb8,,
48,exp1-go-arm,warmup,1777021549.583906,1777021549.762235,178.3289909362793,200,4b67c25a-9178-4a46-91a7-a724993635ba,,
49,exp1-go-arm,warmup,1777021549.6345322,1777021549.7871559,152.62365341186523,200,b14b2c9e-5df5-4cf8-acc3-f95bf8be68b4,,
50,exp1-go-arm,warmup,1777021549.68399,1777021549.8215082,137.51816749572754,200,91e60583-e6e5-4847-a2d0-c1ab30bdca38,,
51,exp1-go-arm,warmup,1777021549.734022,1777021549.897006,162.98413276672363,200,b5c50a9b-6b75-466a-93a0-02e85fb73da0,,
52,exp1-go-arm,warmup,1777021549.783798,1777021549.914934,131.1359405517578,200,c5ab22b6-1988-4c5f-91ad-919194fab5ec,,
53,exp1-go-arm,warmup,1777021549.8338099,1777021549.975411,141.6010856628418,200,994e6a50-e8bb-44a5-b972-738041909751,,
54,exp1-go-arm,warmup,1777021549.8837912,1777021550.01212,128.32880020141602,200,f7af14c2-1ec9-4431-9342-425176979470,,
55,exp1-go-arm,warmup,1777021549.933781,1777021550.0727732,138.9923095703125,200,840846de-5244-4d7b-b3d2-0f0d8aa90077,,
56,exp1-go-arm,warmup,1777021549.983837,1777021550.112086,128.2491683959961,200,45ef2982-9b2c-44a2-b05b-5da9a82a2753,,
57,exp1-go-arm,warmup,1777021550.0338051,1777021550.164875,131.06989860534668,200,9abe1878-7b84-4d6e-be88-461c5152530c,,
58,exp1-go-arm,warmup,1777021550.083762,1777021550.22965,145.888090133667,200,d9db1586-477c-4461-a9e4-a89d413f0692,,
59,exp1-go-arm,warmup,1777021550.1340249,1777021550.2779741,143.9492702484131,200,9b0b6f31-f125-4dbe-8118-7310584de35d,,
60,exp1-go-arm,warmup,1777021550.1840189,1777021550.325622,141.6032314300537,200,6b3d8e08-b241-406d-aab6-af2052827e9f,,
61,exp1-go-arm,warmup,1777021550.233324,1777021550.3687449,135.4207992553711,200,e101e209-e59a-4bc0-b250-b76571b9c194,,
62,exp1-go-arm,warmup,1777021550.28354,1777021550.433931,150.3911018371582,200,a9e22a19-30cf-4c75-8284-0ad48782cedc,,
63,exp1-go-arm,warmup,1777021550.333903,1777021550.483758,149.8548984527588,200,8681b1a6-263e-4146-9477-0453167c2266,,
64,exp1-go-arm,warmup,1777021550.383838,1777021550.5220869,138.24892044067383,200,378c8337-b227-4155-a7b2-a8589f7369fa,,
65,exp1-go-arm,warmup,1777021550.4340842,1777021550.56997,135.88571548461914,200,3f67f9a1-8700-4ca3-b9ef-3cd0c33c8278,,
66,exp1-go-arm,warmup,1777021550.483986,1777021550.615238,131.25205039978027,200,01fe6c06-bccf-4f27-b89f-a6cf1c386eb5,,
67,exp1-go-arm,warmup,1777021550.5340002,1777021550.6863139,152.3137092590332,200,c6209a3f-31e5-4626-8a88-32e0faca12b2,,
68,exp1-go-arm,warmup,1777021550.583144,1777021550.7250292,141.88528060913086,200,ec229f07-1e30-4a13-8fc2-c4e0ae2eacf7,,
70,exp1-go-arm,warmup,1777021550.683728,1777021550.8256562,141.92819595336914,200,f21f7154-0322-4359-b873-b19b3ed58f18,,
71,exp1-go-arm,warmup,1777021550.7337658,1777021550.873204,139.43815231323242,200,ed50d258-7920-4ea9-b6a2-25863e9cbae4,,
72,exp1-go-arm,warmup,1777021550.7837288,1777021550.9342232,150.49433708190918,200,59574fbe-8730-4aac-a41b-dcc73e06a074,,
69,exp1-go-arm,warmup,1777021550.633112,1777021550.938785,305.67312240600586,200,1df2ce02-5511-4f96-94e4-548ead5d209a,,
73,exp1-go-arm,warmup,1777021550.833685,1777021550.9679282,134.24324989318848,200,5f7fcffe-4bcc-49f3-accd-45f98c96a482,,
74,exp1-go-arm,warmup,1777021550.883177,1777021551.0257962,142.61913299560547,200,8e7c3061-d601-408e-815b-5889866b0df4,,
75,exp1-go-arm,warmup,1777021550.9344268,1777021551.067696,133.2693099975586,200,b5db23c8-0af3-468c-ac47-49619f5429f5,,
76,exp1-go-arm,warmup,1777021550.983558,1777021551.124783,141.22509956359863,200,43008a72-1e05-4db4-9917-7e688553ab55,,
77,exp1-go-arm,warmup,1777021551.033822,1777021551.175293,141.47090911865234,200,62d22510-56e1-4d38-95e8-62e5bea9fbc2,,
78,exp1-go-arm,warmup,1777021551.084002,1777021551.22687,142.8680419921875,200,866bdd4d-8488-4a1e-8730-b250dff40f6d,,
79,exp1-go-arm,warmup,1777021551.13392,1777021551.255311,121.39105796813965,200,303ba307-1900-481e-9924-cc9e638c71a1,,
80,exp1-go-arm,warmup,1777021551.183834,1777021551.3140218,130.1877498626709,200,f61feb76-765f-4146-97dd-1bcb9a42ebff,,
81,exp1-go-arm,warmup,1777021551.233661,1777021551.385535,151.87406539916992,200,978f0207-62b7-4ebe-a0cb-6c51c77d153b,,
82,exp1-go-arm,warmup,1777021551.2839959,1777021551.442295,158.29920768737793,200,59565b61-baef-4ff9-bbe9-e4f4c1a92ae6,,
83,exp1-go-arm,warmup,1777021551.333985,1777021551.504555,170.56989669799805,200,3b168c72-a969-4483-ba30-0ae43e689aa5,,
84,exp1-go-arm,warmup,1777021551.384059,1777021551.516501,132.44199752807617,200,59c67197-1c2a-4af2-8c6c-bf48fdfac3d4,,
85,exp1-go-arm,warmup,1777021551.4340868,1777021551.622354,188.26723098754883,200,4df457b7-2714-4ba2-847f-3aa8efaeaec7,,
86,exp1-go-arm,warmup,1777021551.4839969,1777021551.670345,186.34819984436035,200,c036a90e-03bd-41a6-8b0a-d2f812677d23,,
92,exp1-go-arm,warmup,1777021551.784023,1777021552.018715,234.69185829162598,200,fa644768-dace-4c77-9543-0b3430377782,,
90,exp1-go-arm,warmup,1777021551.684012,1777021552.066302,382.2901248931885,200,15e7cb6b-1142-4c98-847b-ffdcb1bb71aa,,
91,exp1-go-arm,warmup,1777021551.734113,1777021552.066433,332.319974899292,200,336aaa22-2f6a-41c4-b707-57d9c68289ec,,
88,exp1-go-arm,warmup,1777021551.5840168,1777021552.066793,482.7761650085449,200,6fd536d6-6848-4d64-89ea-46dcc8c79a59,,
89,exp1-go-arm,warmup,1777021551.633983,1777021552.138429,504.44602966308594,200,0dba906e-ee74-47e7-8adb-d4959ef7d8b7,,
87,exp1-go-arm,warmup,1777021551.533337,1777021552.13851,605.172872543335,200,2ae503a9-3811-420b-a388-37b21203dde1,,
93,exp1-go-arm,warmup,1777021551.834035,1777021552.161145,327.11005210876465,200,53c5f4dd-c864-4fa4-960f-6139ff83f6c8,,
97,exp1-go-arm,warmup,1777021552.033967,1777021552.2092988,175.33183097839355,200,2f81efbe-a3da-4ae6-ac43-69be1003cd5f,,
98,exp1-go-arm,warmup,1777021552.083771,1777021552.2612,177.4289608001709,200,53532393-861c-4fbe-b6c1-97139124bf75,,
99,exp1-go-arm,warmup,1777021552.133794,1777021552.283499,149.7049331665039,200,e605a214-02fe-45e0-9c13-bdf32b93aee3,,
94,exp1-go-arm,warmup,1777021551.88338,1777021552.284728,401.3481140136719,200,3b43394b-043d-4ff7-8848-af780457828c,,
95,exp1-go-arm,warmup,1777021551.934009,1777021552.5065112,572.5021362304688,200,38a1b3e1-5268-4216-9f58-c3bd628e0584,,
102,exp1-go-arm,warmup,1777021552.283821,1777021552.5067039,222.88274765014648,200,e721a646-5b44-448d-a728-6d2860774f89,,
101,exp1-go-arm,warmup,1777021552.233935,1777021552.5067341,272.799015045166,200,ff893dc2-651b-4f40-aef3-e12edb3c698a,,
103,exp1-go-arm,warmup,1777021552.3340821,1777021552.5257149,191.63274765014648,200,fafa4193-ac4f-4365-921a-8fe44785faa3,,
100,exp1-go-arm,warmup,1777021552.1837142,1777021552.595532,411.8177890777588,200,855952d7-9bdb-45f1-8643-3b045c552f4b,,
96,exp1-go-arm,warmup,1777021551.983667,1777021552.59609,612.4231815338135,200,4fcd74eb-b55f-483d-99ce-bd05deacf7a4,,
104,exp1-go-arm,warmup,1777021552.3835971,1777021552.596183,212.5859260559082,200,5ac3c759-5318-49a9-a54e-af0a1cc29758,,
105,exp1-go-arm,warmup,1777021552.433973,1777021552.6141179,180.1447868347168,200,d8ce0c43-8b0c-43a5-bd8b-4bc467ef80a0,,
106,exp1-go-arm,warmup,1777021552.4832609,1777021552.626385,143.12410354614258,200,c64f3719-29bf-41ab-926f-8adcf33ebd8c,,
107,exp1-go-arm,warmup,1777021552.533686,1777021552.714366,180.6800365447998,200,b038474d-7df4-4a0b-9df2-5d823fa4e0f1,,
108,exp1-go-arm,warmup,1777021552.584044,1777021552.7426429,158.5988998413086,200,1f0a7808-3fab-4079-a3a8-b6fd172cbb24,,
109,exp1-go-arm,warmup,1777021552.633421,1777021552.7838788,150.45785903930664,200,855143c5-2474-4f7c-be00-d680815338bf,,
110,exp1-go-arm,warmup,1777021552.683987,1777021552.8517041,167.71721839904785,200,04ac8eaf-1622-4853-9af1-ab76d40de435,,
111,exp1-go-arm,warmup,1777021552.7331781,1777021552.919366,186.187744140625,200,4156e0ed-2368-4220-91a5-635cae5e1362,,
112,exp1-go-arm,warmup,1777021552.784096,1777021552.944711,160.6149673461914,200,3e9cba59-1194-486d-a1e1-2d293580e9d7,,
113,exp1-go-arm,warmup,1777021552.833745,1777021553.003849,170.1040267944336,200,b8a3f59d-1c59-4f99-a7c4-e7b10a7a4ed3,,
114,exp1-go-arm,warmup,1777021552.884335,1777021553.0259662,141.6311264038086,200,d861294c-2757-4859-a016-37639788c226,,
115,exp1-go-arm,warmup,1777021552.93403,1777021553.097483,163.4528636932373,200,93efbaa1-afc8-4760-93ae-219ad0137956,,
116,exp1-go-arm,warmup,1777021552.983455,1777021553.130326,146.87108993530273,200,bf41988d-da37-422d-88eb-cc53e8b983ce,,
118,exp1-go-arm,warmup,1777021553.0837948,1777021553.232245,148.45013618469238,200,a7a3c95e-10bb-4437-bb04-567fb36b161b,,
117,exp1-go-arm,warmup,1777021553.033642,1777021553.232689,199.04685020446777,200,b974230e-0fb1-41b0-b4d1-40b31bfd0658,,
119,exp1-go-arm,warmup,1777021553.1331992,1777021553.2919412,158.74195098876953,200,0992506c-517e-4ba6-a161-b2ce84cf5936,,
120,exp1-go-arm,warmup,1777021553.1841202,1777021553.3520808,167.96064376831055,200,e7197fc0-df6a-469d-a33a-0b7cd564f901,,
121,exp1-go-arm,warmup,1777021553.233015,1777021553.38116,148.14496040344238,200,2784f8c5-38bf-4233-a1db-4d0e9a1bca98,,
122,exp1-go-arm,warmup,1777021553.284072,1777021553.4181278,134.05585289001465,200,82e2cf74-31ce-486a-9ece-29fde0cae335,,
123,exp1-go-arm,warmup,1777021553.334025,1777021553.469739,135.71405410766602,200,55c9a5f3-bc01-4e70-b5c1-8768afe8c724,,
124,exp1-go-arm,warmup,1777021553.3831308,1777021553.550931,167.8001880645752,200,7dfa03b5-8326-42c5-863c-8c68da191a85,,
125,exp1-go-arm,warmup,1777021553.43382,1777021553.554005,120.18489837646484,200,9a06213f-2bc9-453a-bcfe-9bf80a3bc58d,,
126,exp1-go-arm,warmup,1777021553.483948,1777021553.6459908,162.04285621643066,200,ba1fb0bd-7469-4e64-9339-b9513c05a250,,
127,exp1-go-arm,warmup,1777021553.53391,1777021553.669987,136.0769271850586,200,5aa44f35-0f60-490e-a3a7-5d0c87b22499,,
129,exp1-go-arm,warmup,1777021553.6339872,1777021553.7665222,132.53498077392578,200,995c5ec9-9e11-495a-911f-f846fa9df9d8,,
128,exp1-go-arm,warmup,1777021553.583922,1777021553.7812312,197.3092555999756,200,0f0d3f4c-5ee5-4811-b0c2-0a899c757e3c,,
130,exp1-go-arm,warmup,1777021553.683344,1777021553.835295,151.95107460021973,200,f76d86ad-c3ef-4b21-b854-bc016c0699a9,,
131,exp1-go-arm,warmup,1777021553.733999,1777021553.878419,144.41990852355957,200,717f90a7-332a-48a0-a1fa-f0d3dc90f6cd,,
133,exp1-go-arm,warmup,1777021553.833986,1777021553.968551,134.56487655639648,200,bc2eb334-1927-43ad-88ea-79401c6eee58,,
132,exp1-go-arm,warmup,1777021553.783041,1777021553.984441,201.4000415802002,200,eb7fa6bd-f0a1-4842-8a1b-94dc72232b18,,
134,exp1-go-arm,warmup,1777021553.8834748,1777021554.019852,136.37709617614746,200,1405d230-802e-4777-ae8c-456743a61d1a,,
135,exp1-go-arm,warmup,1777021553.934027,1777021554.0716422,137.61520385742188,200,aed1d67c-2986-43e5-aaff-09892a426482,,
136,exp1-go-arm,warmup,1777021553.983275,1777021554.135966,152.69112586975098,200,fbd82685-ff09-4629-8605-31d4211ad5d6,,
137,exp1-go-arm,warmup,1777021554.033257,1777021554.176812,143.5549259185791,200,ae696d11-9537-4a22-bf8c-360d795dac4c,,
138,exp1-go-arm,warmup,1777021554.0839932,1777021554.244881,160.8877182006836,200,24d0718d-708e-4ad2-b137-510497a6c1ee,,
139,exp1-go-arm,warmup,1777021554.134096,1777021554.2607622,126.66630744934082,200,c3385f0e-31ee-4c59-87e3-708e221f4607,,
140,exp1-go-arm,warmup,1777021554.1833699,1777021554.320089,136.7192268371582,200,70923462-778d-47a2-aaa9-5aaea2ad7979,,
141,exp1-go-arm,warmup,1777021554.2338738,1777021554.370923,137.04919815063477,200,f2f17d90-9b1b-4c24-9a42-18997135f308,,
142,exp1-go-arm,warmup,1777021554.2839942,1777021554.423119,139.12487030029297,200,835b6df8-9503-41a5-85ac-40fec0201007,,
143,exp1-go-arm,warmup,1777021554.334063,1777021554.473108,139.04500007629395,200,74186f50-761c-4c68-8c3d-3790b30e8662,,
144,exp1-go-arm,warmup,1777021554.3842921,1777021554.5302012,145.90907096862793,200,bd881bd6-84cf-4169-9ca4-6de223cddf79,,
145,exp1-go-arm,warmup,1777021554.433974,1777021554.617862,183.88795852661133,200,1b66ed95-72b3-453b-90f5-299dd3848678,,
146,exp1-go-arm,warmup,1777021554.483965,1777021554.657026,173.06113243103027,200,9ef6bbf2-7207-4975-9364-756969056c92,,
147,exp1-go-arm,warmup,1777021554.533322,1777021554.692297,158.97488594055176,200,9f64795a-2ddd-48b3-a740-0a17219c9ce7,,
148,exp1-go-arm,warmup,1777021554.583504,1777021554.73532,151.81612968444824,200,f4c77535-a96e-4259-af89-330d9b937390,,
149,exp1-go-arm,warmup,1777021554.6339111,1777021554.7801962,146.2850570678711,200,4e740bd8-0910-4a64-946b-24b44e6660f3,,
150,exp1-go-arm,warmup,1777021554.683917,1777021554.8095841,125.66709518432617,200,41ffdf65-641b-4df9-86b1-82f89c0b1a4d,,
151,exp1-go-arm,warmup,1777021554.734097,1777021554.872991,138.89408111572266,200,f8efd89c-d467-4b3c-832a-ecfa5bbfc049,,
152,exp1-go-arm,warmup,1777021554.783134,1777021554.917909,134.77492332458496,200,1b200816-ecb3-4226-9b72-84bd20a9f10f,,
153,exp1-go-arm,warmup,1777021554.833803,1777021554.960929,127.12597846984863,200,6e535abf-1154-4d0e-8101-715c2b357438,,
154,exp1-go-arm,warmup,1777021554.883786,1777021555.016841,133.0549716949463,200,d392b9a8-536b-4d68-a583-ad762d4a8ed7,,
155,exp1-go-arm,warmup,1777021554.933782,1777021555.06177,127.98786163330078,200,f51b4cf7-f9fd-4302-abba-528c8a4cbcb3,,
